date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Mar%202020%2016:58:21%20GMT	http://skywarriorthemes.com/blackfyre/?wordfence_lh=1&hid=3DCA81069B4FB52D8FC912DB12BF6099	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/index5233.html	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:22	52375/52375	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/perks.png	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/perks.png	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:22	24026/24026	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/retribution_by_tamplierpainter-d79jjze-287x222.jpg	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/retribution_by_tamplierpainter-d79jjze-287x222.jpg	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:22	16588/16588	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2013/08/8-287x222.jpg	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2013/08/8-287x222.jpg	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:22	15856/15856	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/2fbae6ed9ab29b98f132aaa5ba1f4eb4.png	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/2fbae6ed9ab29b98f132aaa5ba1f4eb4.png	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:22	16269/16269	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/93aef08868c76c26c83bf68eab7d349e.png	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/93aef08868c76c26c83bf68eab7d349e.png	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:23	16767/16767	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/b5b92e959902f87a47e4288b002abfb8.png	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/b5b92e959902f87a47e4288b002abfb8.png	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:23	18577/18577	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/c4feb3a5f6c1f500afb1bf62f811bdeb.png	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/c4feb3a5f6c1f500afb1bf62f811bdeb.png	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:23	16880/16880	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/df152f1ade639d43f93a7b2a48c33c3e.png	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/df152f1ade639d43f93a7b2a48c33c3e.png	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:24	17945/17945	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/dff1ee5d55ac2e8f2483c3257d88b5af.png	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/dff1ee5d55ac2e8f2483c3257d88b5af.png	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:24	22619/22619	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/e93d44e1e4dbfc90182036dea87eab9d.png	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/e93d44e1e4dbfc90182036dea87eab9d.png	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:24	1178/1178	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/mym1-25x25.jpg	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/uploads/2015/02/mym1-25x25.jpg	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:24	10569/10569	---M--	200	added ('OK')	text/css	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/plugins/js_composer/assets/lib/vc_carousel/css/vc_carousel.min.css?ver=6.0.5	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/plugins/js_composer/assets/lib/vc_carousel/css/vc_carousel.min52c7.css	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:24	837/837	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/plugins/js_composer/assets/lib/vc_carousel/js/transition.min.js?ver=6.0.5	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/plugins/js_composer/assets/lib/vc_carousel/js/transition.min52c7.js	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:25	9889/9889	---M--	200	added ('OK')	application/javascript	date:Fri,%2025%20Oct%202019%2010:33:10%20GMT	https://skywarriorthemes.com/blackfyre/wp-content/plugins/js_composer/assets/lib/vc_carousel/js/vc_carousel.min.js?ver=6.0.5	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-content/plugins/js_composer/assets/lib/vc_carousel/js/vc_carousel.min52c7.js	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:25	189166/189166	---MC-	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:58:24%20GMT	https://skywarriorthemes.com/blackfyre/matches/congue-tortor/	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/matches/congue-tortor/index.html	(from https://skywarriorthemes.com/blackfyre/homepage/)
11:58:25	2227/2227	---MC-	200	added ('OK')	application/json	date:Sat,%2021%20Mar%202020%2016:58:25%20GMT	https://skywarriorthemes.com/blackfyre/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fskywarriorthemes.com%2Fblackfyre%2Fhomepage-blog-style%2F	C:/Mis%20lugares%20Web/black%20fire/skywarriorthemes.com/blackfyre/wp-json/oembed/1.0/embeda124.json	(from https://skywarriorthemes.com/blackfyre/homepage-blog-style/)
